,Accident date,Header,Deaths,Injured
462,2019-06-16,Rickshaw puller killed in Tejgaon road crash,1.0,0.0
463,2019-06-14,"1 killed, 32 injured in road accidents in 2 districts",1.0,32.0
464,2019-06-14,1 killed in Dhaka road accident,1.0,0.0
465,2019-06-12,1 killed in Dhaka road accident,1.0,0.0
466,2019-06-12,3 motorcyclists killed in Naogaon road accident,3.0,0.0
467,2019-06-10,Woman run over by bus in Jatrabari,1.0,0.0
468,2019-06-08,Road accidents claim 6 lives in 5 districts,6.0,0.0
469,2019-06-06,"4 killed, 20 injured in Faridpur road accident",4.0,0.0
470,2019-06-05,Bogra-Nagarbari highway sees 13 deaths in 48 hours,13.0,0.0
471,2019-06-03,Road accidents kill 19 in 6 districts,19.0,0.0
472,2019-06-02,8 killed in Sirajganj road accident,8.0,0.0
473,2019-06-02,6 killed in Sunamganj road accident,6.0,0.0
474,2019-06-02,Mother of two killed in Dhaka road accident,2.0,0.0
475,2019-06-01,7 killed in road accidents in 5 districts,7.0,0.0
476,2019-06-01,Teacher recruitment examinee killed in Rajbari road accident,1.0,0.0
477,2019-05-31,Teenage girl run over by bus in Dhaka,0.0,0.0
478,2019-05-30,3 killed in Chandpur road accidents,1.0,0.0
479,2019-05-29,BPM awarded Constable Parvez loses leg in road accident,0.0,1.0
480,2019-05-29,4 killed in crashes in 2 districts,4.0,0.0
481,2019-05-27,Six killed in separate road accidents,6.0,0.0
482,2019-05-25,Woman killed in Manikganj road accident,1.0,0.0
483,2019-05-25,One killed in road accident in Pabna,1.0,0.0
484,2019-05-24,Death of Rajib: Court orders probe report on July 8,1.0,0.0
485,2019-05-22,2 killed in Narsingdi road accident,2.0,0.0
486,2019-05-22,8 killed in road crashes across the country,8.0,0.0
487,2019-05-18,6 killed in Bagerhat road accident,6.0,0.0
488,2019-05-18,"Chapainawabganj road accident kills 3, injures 8",3.0,8.0
489,2019-05-15,Man killed in Jatrabari road accident,1.0,0.0
490,2019-05-11,"2 killed in Magura, Savar road accidents",2.0,0.0
491,2019-05-11,"2 killed in road accidents in Kushtia, Tangail",2.0,0.0
492,2019-05-10,11 killed in road accidents in 5 districts,11.0,0.0
493,2019-05-08,"3 killed, 15 injured in Noakhali road accident",3.0,0.0
494,2019-05-08,Road crash kills Grameen Bank official in Dhaka,1.0,0.0
495,2019-05-05,Seven killed in road accidents in four districts,7.0,0.0
496,2019-05-05,2 workers killed as truck overturns in Comilla,2.0,0.0
497,2019-05-05,3 killed in Bhola road accident,3.0,0.0
498,2019-05-05,"6 people killed in road accidents in Dhamrai, Rajbari",6.0,0.0
499,2019-05-02,9 killed in road accidents in 5 districts,9.0,0.0
500,2019-05-02,Road accidents kill 7 in 5 districts,7.0,0.0
501,2019-04-29,Driver arrested over Brac University student’s death,1.0,0.0
502,2019-04-28,5 dead in Chandpur road accident,5.0,0.0
503,2019-04-28,Fireman dies in Naogaon road accident,1.0,0.0
504,2019-04-26,4 killed as jeep ploughs into house in Chittagong,4.0,0.0
505,2019-04-25,2 killed in Dhaka road accident,2.0,0.0
506,2019-04-23,Five killed in road accidents across country,5.0,0.0
507,2019-04-21,2 killed in separate Kushtia road accidents,2.0,0.0
508,2019-04-20,Child killed in Brahmanbaria road accident,1.0,0.0
509,2019-04-19,Rasel gets prosthetic leg,0.0,1.0
510,2019-04-18,"Father, daughter among 3 killed in Dinajpur road accident",3.0,0.0
511,2019-04-18,29 German tourists die in bus crash,29.0,0.0
512,2019-04-18,5 killed in separate road accidents,5.0,0.0
513,2019-04-16,3 killed in different districts,3.0,0.0
514,2019-04-14,"Maitree Express hits pick-up in Sirajganj, 3 killed",3.0,0.0
515,2019-04-13,Businessman dies in Jhenaidah road accident,1.0,0.0
516,2019-04-13,"8 dead, 30 injured in Joypurhat road accident",8.0,30.0
517,2019-04-08,1 killed after bus rams rickshaw in Gulistan,1.0,0.0
518,2019-04-07,5 killed as bus overturns in Gaibandha,5.0,0.0
519,2019-04-02,Road accidents kill 5 in three districts,5.0,0.0
520,2019-03-31,"Bus hits CNG , primary schoolboy killed",1.0,0.0
521,2019-03-30,Singer Khurshid Alam injured in Bogra road crash,1.0,0.0
522,2019-03-30,7 killed as bus plunges into ditch in Madaripur,7.0,0.0
523,2019-03-28,"4 killed, 15 injured in separate Jessore road accidents",4.0,15.0
524,2019-03-28,"8 killed, 20 injured as bus, microbus collide in Chittagong",8.0,20.0
525,2019-03-28,College student killed in Lakshmipur road accident,1.0,0.0
526,2019-03-27,Suprovat bus conductor’s haste for escape took Abrar’s life,1.0,0.0
527,2019-03-27,What was it all for?,0.0,0.0
528,2019-03-27,Two schoolgirls killed in road accidents in Comilla,2.0,0.0
529,2019-03-26,2 schoolgirls killed in Comilla road accidents,2.0,0.0
530,2019-03-26,"Truck runs over van, kills driver",1.0,0.0
531,2019-03-25,Student’s death brings Sylhet to a standstill,1.0,0.0
532,2019-03-24,3 killed in road crash,3.0,0.0
533,2019-03-22,"Mother, daughter killed in Narayanganj road accident",2.0,0.0
534,2019-03-21,Road accidents kill 3 students in three districts,3.0,0.0
535,2019-03-21,Suprovat bus driver killed Abrar while fleeing accident spot,1.0,0.0
536,2019-03-21,Teacher’s car runs over 2 JnU students,2.0,0.0
537,2019-03-20,"Schoolgirl loses leg in Jessore road accident, highway blocked",0.0,1.0
538,2019-03-20,3 motorcyclists killed in Gopalganj road accident,3.0,0.0
539,2019-03-20,Case filed over death of BUP student,1.0,0.0
540,2019-03-20,Student’s death on Dhaka street rekindles road safety movement,5.0,0.0
541,2019-03-19,Mayor Atiqul: Foot overbridge to be named after killed BUP student,1.0,0.0
542,2019-03-19,Two killed in Manikganj road accident,2.0,0.0
543,2019-03-15,3 die in separate Dhaka road accidents,3.0,0.0
544,2019-03-06,3 killed in road accidents across country,3.0,0.0
545,2019-03-04,Road crashes kill 8 in four districts,8.0,0.0
546,2019-02-27,"10 killed, 26 injured in road crashes in 4 districts",10.0,26.0
547,2019-02-23,"5 killed, 6 injured in separate road crashes in Tangail",5.0,6.0
548,2019-02-23,5 killed in Kurigram-Rangpur highway accident,5.0,0.0
549,2019-02-18,Road crashes kill 9 in five districts,9.0,0.0
550,2019-02-17,"5 killed, 10 injured in Comilla road accident",5.0,10.0
551,2019-02-17,Five killed in separate accidents in Dhaka,5.0,0.0
552,2019-02-14,2 killed in Rajbari road accident,2.0,0.0
553,2019-02-14,3 die as microbus catches fire on Chittagong highway,3.0,0.0
554,2019-02-12,Road crashes kill 13 in four districts,13.0,0.0
555,2019-02-11,"3 killed, 1 injured in Munshiganj road accident",3.0,1.0
556,2019-02-11,Schoolgirl killed in Khulna road accident,1.0,0.0
557,2019-02-11,"Car-truck collision kills 5 BCL, Juba League men in Khulna",5.0,0.0
558,2019-02-11,Road crashes kill 11 in four districts,11.0,0.0
559,2019-02-10,Separate road accidents kill 2 in Tangail,2.0,0.0
560,2019-02-09,"1 dead, 2 injured in separate Jessore road accidents",1.0,2.0
561,2019-02-09,Road accidents kill 7 across the country,7.0,0.0
562,2019-02-07,Milestone school student killed in Uttara road accident,1.0,0.0
563,2019-02-05,"2 killed, 20 injured in Gopalganj bus accident",2.0,20.0
564,2019-02-05,3 killed in Dhaka road accidents,3.0,0.0
565,2019-02-05,15 killed in road crashes across Bangladesh,15.0,0.0
566,2019-02-03,"Truck driver, helper killed in Gazipur road accident",2.0,0.0
567,2019-02-03,Bus-microbus collision kills 4 in Chittagong,4.0,0.0
568,2019-02-03,Motorcyclist dead in Rangamati road accident,1.0,0.0
569,2019-02-03,Two motorcyclists killed in Thakurgaon road accident,2.0,0.0
570,2019-02-02,Students block Dhaka-Mawa highway demanding justice for siblings killed in road accident,2.0,0.0
571,2019-01-31,3 of a family killed in Mymensingh road accident,3.0,0.0
572,2019-01-31,Two killed in Thakurgaon road crash,2.0,0.0
573,2019-01-29,4 killed as truck falls into Turag river in Ashulia,4.0,0.0
574,2019-01-29,Siblings run over by truck in Keraniganj,2.0,0.0
575,2019-01-28,3 killed in Dhaka road accidents,3.0,0.0
576,2019-01-25,Road crashes kill six across the country,6.0,0.0
577,2019-01-24,9 killed in road crashes in 2 districts,9.0,0.0
578,2019-01-23,6 members of a family among 7 killed in Lakshmipur road accident,7.0,0.0
579,2019-01-23,Road crashes kill nine in 6 districts,9.0,0.0
580,2019-01-22,Woman killed in Bogra road accident,1.0,0.0
581,2019-01-22,One killed as train hits lorry in Tangail,1.0,0.0
582,2019-01-22,Eight killed in road crashes across country,8.0,0.0
583,2019-01-21,Road crashes kill 8 in three districts,2.0,0.0
584,2019-01-20,2 killed in Brahmanbaria road accident,2.0,0.0
585,2019-01-19,"2 killed, 20 injured in Noakhali bus accident",2.0,20.0
586,2019-01-17,Road accidents kill 9 in four districts,9.0,0.0
587,2019-01-15,Attempt on Ahona's life: Truck driver claims self defence,0.0,1.0
588,2019-01-13,Two killed in Keraniganj road accident,2.0,0.0
589,2019-01-13,"Truck driver, helper responsible for actor Ahona’s injury arrested",0.0,1.0
590,2019-01-12,AL leader killed in Lalmonirhat road accident,1.0,0.0
591,2019-01-12,Road accidents kill eight in three districts,8.0,0.0
592,2019-01-09,2 killed in Netrokona road accident,2.0,0.0
593,2019-01-06,Road crashes kill 6 in four districts,6.0,0.0
594,2019-01-05,"2 run over, killed by truck in Ashulia",2.0,0.0
595,2019-01-04,"Bus-truck collision kills 1, injures 10 in Tangail",1.0,10.0
596,2019-01-03,Rampage in Malibagh as reckless bus driving kills RMG worker,1.0,0.0
597,2019-01-01,"3 killed, 40 injured in Chittagong road accident",3.0,40.0
598,2018-12-27,2 killed in Dhaka road accident,2.0,0.0
599,2018-12-25,"1 killed, 21 injured in Tangail road accident",1.0,21.0
600,2018-12-23,"3 killed in Bagerhat, Gazipur road accidents",3.0,0.0
601,2018-12-22,11 killed in Gopalganj road crash,11.0,0.0
602,2018-12-20,3 killed as bus hits roadside tree in Bagerhat,3.0,0.0
603,2018-12-20,Road accidents kill 9 across Bangladesh,9.0,0.0
604,2018-12-17,Army personnel killed in Sirajganj road accident,1.0,0.0
605,2018-12-14,Road crashes kill 8 in four districts,8.0,0.0
606,2018-12-13,13 killed as bus falls down gorge in Indian Kashmir,13.0,0.0
607,2018-12-08,Female ophthalmologist killed in Dhaka road accident,1.0,0.0
608,2018-12-04,11 killed in road crashes in three districts,11.0,0.0
609,2018-12-03,3 labourers killed in Pabna road accident,3.0,0.0
610,2018-12-02,11 killed in road crashes across country,11.0,0.0
611,2018-11-29,10 killed in road crashes across country,10.0,0.0
612,2018-11-25,Three killed in two road accidents in Savar,3.0,0.0
613,2018-11-24,1 spot dead and 25 injured in Habiganj road accident,1.0,25.0
614,2018-11-24,10 RMG workers injured in Gazipur road accident,0.0,10.0
615,2018-11-24,7 killed in road crashes across country,7.0,0.0
616,2018-11-18,4 killed in road crashes across country,4.0,0.0
617,2018-11-14,"Road accident kills 3, injures 4 in Barisal",3.0,4.0
618,2018-11-11,6 killed in road accidents,6.0,0.0
619,2018-11-09,3 killed in Tangail road accident,3.0,0.0
620,2018-11-04,Woman killed in Panthapath road accident,1.0,0.0
621,2018-10-29,Panchagarh road accident death toll rises to 11,11.0,0.0
622,2018-10-27,"2 cops, child killed in road crash",2.0,0.0
623,2018-10-22,3 pedestrians killed in Jatrabari bus accidents,3.0,0.0
624,2018-10-22,"Father, son among 3 killed in Chandpur road accident",3.0,0.0
625,2018-10-22,Microbus kills two in Gopalganj,2.0,0.0
626,2018-10-20,Road accidents kill three in Dhaka,3.0,0.0
627,2018-10-15,2 killed in Rajbari road accident,2.0,0.0
628,2018-10-11,Road crashes kill 6 across country,6.0,0.0
629,2018-10-09,Woman dies after falling from motorcycle in Dhaka,1.0,0.0
630,2018-10-04,Ekattor TV employee killed in Dhaka road accident,1.0,0.0
631,2018-09-29,Man dies after being hit by bus at Farmgate,1.0,0.0
632,2018-09-27,Road crashes kill 7,7.0,0.0
633,2018-09-25,"Truck ploughs through autorickshaw stand in Chittagong, kills 5",5.0,0.0
634,2018-09-25,Road crashes kill 10 across Bangladesh,10.0,0.0
635,2018-09-22,"5 killed in road accidents in Khulna, Rajshahi",5.0,0.0
636,2018-09-21,Road accidents kill four across Bangladesh,4.0,0.0
637,2018-09-20,"Road accidents kill 3 in Comilla, Khulna",3.0,0.0
638,2018-09-20,"3 found dead in Ashulia, Savar",3.0,0.0
639,2018-09-18,"Car breaks railing, plunges into Hatirjheel Lake",0.0,0.0
640,2018-09-15,"Rangpur bus collision kills 2, injures 20",2.0,20.0
641,2018-09-13,Road crashes kill 5 in two districts,5.0,0.0
642,2018-09-12,9 killed in separate road accidents,9.0,0.0
643,2018-09-11,Road accident kills NSU student in Hatirjheel,1.0,0.0
644,2018-09-08,Two bikers killed in Gaibandha road accident,2.0,0.0
645,2018-09-05,"6 killed, 15 injured in road accidents",6.0,15.0
646,2018-09-03,Police SI killed in Dhaka road crash,1.0,0.0
647,2018-09-02,"Separate road accidents kill 3, injured 37 in Bogra",3.0,37.0
648,2018-09-02,4 killed in Netrokona road accident,4.0,0.0
649,2018-09-01,Boy killed after being hit by a bus in Kushtia,1.0,0.0
650,2018-09-01,5 killed in Gaibandha road accident,5.0,0.0
651,2018-08-31,"Death of infant Akifa: Case filed against bus driver, 2 others",1.0,0.0
652,2018-08-31,2 killed in Dinajpur road accident,2.0,0.0
653,2018-08-31,Road accident: 1-year-old loses battle for life,1.0,0.0
654,2018-08-28,Eleven people killed in road accidents across Bangladesh,11.0,0.0
655,2018-08-28,Father and son killed in Comilla road accident,2.0,0.0
656,2018-08-26,Natore road accident death toll rises to 15,15.0,0.0
657,2018-08-25,2 women killed in Comilla road crash,2.0,0.0
658,2018-08-23,"5 killed, 21 injured in Gopalganj road accidents",5.0,21.0
659,2018-08-21,26 injured in Habiganj road accident,26.0,0.0
660,2018-08-21,11 killed in Narsingdi as bus-human haulier collide head-on,11.0,0.0
661,2018-08-20,6 killed in Feni road accident,6.0,0.0
662,2018-08-19,Road accidents kill 6 across the country,6.0,0.0
663,2018-08-19,Road crash kills worker near PM’s office,1.0,0.0
664,2018-08-18,15 injured in road accident in Jhenidah,0.0,15.0
665,2018-08-16,"Four killed as speeding vehicles plough through shops in Rajshahi, Chuadanga",4.0,0.0
666,2018-08-15,4 children among 7 killed in Narsingdi road crash,7.0,0.0
667,2018-08-11,Road crashes kill 11 across the country,11.0,0.0
668,2018-08-06,2 including student killed by human hauler in Narsingdi,2.0,0.0
669,2018-08-03,Bus torched after it kills motorcyclist in Dhaka amidst movement for safe roads,1.0,0.0
670,2018-08-02,Child killed in bus accident in Satkhira,1.0,0.0
671,2018-07-31,Another schoolgirl killed by speeding bus in Comilla,1.0,0.0
672,2018-07-30,"2 students killed, 7 injured in Airport Road accident",2.0,7.0
673,2018-07-29,7 killed in Barguna road accident,7.0,0.0
674,2018-07-26,Five killed in road crashes in two districts,5.0,0.0
675,2018-07-22,Road accidents kill 17 across the country,17.0,0.0
676,2018-07-22,Man killed in motorcycle accident in Mohakhali,1.0,0.0
677,2018-07-20,3 killed in Jamalpur road accident,3.0,0.0
678,2018-07-20,Two dead in Naogaon road accident,2.0,0.0
679,2018-07-19,Four killed in Cox’s Bazar road crash,4.0,0.0
680,2018-07-16,Road accident kills 2 in Cox’s Bazar,2.0,0.0
681,2018-07-11,"Road accidents kill 11, injure 30 in six districts",11.0,0.0
682,2018-07-09,Eight killed in separate road crashes,8.0,0.0
683,2018-07-04,"Father, daughter killed in Naogaon road crash",2.0,0.0
684,2018-06-26,6 killed in Tangail road accidents,6.0,0.0
685,2018-06-25,Road crashes kill 7 in six districts,7.0,0.0
686,2018-06-24,Road accidents kill 37 across Bangladesh,37.0,0.0
687,2018-06-23,Road accident kills 18 in Gaibandha,18.0,0.0
688,2018-06-23,"Six accidents claim 11 lives, injure 50 across country",11.0,50.0
689,2018-06-20,Road accidents in three districts claim seven lives,7.0,0.0
690,2018-06-20,Seven killed in road crashes,7.0,0.0
691,2018-06-19,Police officer Helal Uddin of 10-truck arms case killed in accident,1.0,0.0
692,2018-06-19,Road crashes kill 16 in six districts,16.0,0.0
693,2018-06-18,"6 killed in Noakhali, Tangail road accidents",6.0,0.0
694,2018-06-17,3 killed in Noakhali road accident,3.0,0.0
695,2018-06-17,Road crashes kill 8 in four districts,8.0,0.0
696,2018-06-10,Road accidents: 9 dead in 6 districts,9.0,0.0
697,2018-06-09,Road crashes kill 9 in four districts,9.0,0.0
698,2018-06-08,Road accidents claim 10 lives in 5 districts,10.0,0.0
699,2018-06-06,4 killed in Tangail road accident,4.0,0.0
700,2018-06-06,Road crashes kill 10 in four districts,10.0,0.0
701,2018-06-03,3 killed in Sirajganj road crash,3.0,0.0
702,2018-06-03,Road crashes kill 13 across the country,13.0,0.0
703,2018-06-03,2 killed in Lalmonirhat road accident,2.0,0.0
704,2018-06-01,2 Bangladeshi blue helmets killed in Central African Republic crash,2.0,0.0
705,2018-05-26,Two motorcycle riders killed in Naogaon road accident,2.0,0.0
706,2018-05-23,"School headmistress, her teacher daughter and granddaughter killed in Gopalganj accident",3.0,0.0
707,2018-05-23,"Bus falls off highway in Rangpur, two killed",2.0,0.0
708,2018-05-23,Five killed in Bogura road accident,5.0,0.0
709,2018-05-17,Dhaka Tribune's Nazim Uddin killed in road accident,1.0,0.0
710,2018-05-17,4 killed in Habiganj road accident,4.0,0.0
711,2018-05-12,"Three killed, 7 injured in Mirpur road crash",3.0,0.0
712,2018-05-12,Six killed in Mymensingh road crash,6.0,0.0
713,2018-05-12,Senior journalist Kallol injured in road accident in Dhaka,0.0,1.0
714,2018-05-08,"3 killed, 12 injured as bus overturns in Gopalganj",3.0,12.0
715,2018-05-07,3 Chhatra League leaders killed in Brahmanbaria road accident,3.0,0.0
716,2018-05-06,Now RMG worker loses foot in Dhaka road accident,0.0,1.0
717,2018-05-05,3 killed in Mymensingh road accident,3.0,0.0
718,2018-05-01,3 motorcyclists killed in Dinajpur road crash,3.0,0.0
719,2018-04-29,Another limb lost in road mishap,0.0,1.0
720,2018-04-28,13 children dead after train hits school bus in India,13.0,0.0
721,2018-04-26,"After Rajib, child's arm severed by bus in Bogura",0.0,1.0
722,2018-04-22,"4 killed, 15 injured in Gaibandha road accident",4.0,15.0
723,2018-04-14,Two dead in Manikganj road accident,2.0,0.0
724,2018-04-11,"2 killed, 25 injured as bus turns over on Dhaka-Khulna highway",2.0,25.0
725,2018-04-08,Three killed in Khulna road crash,3.0,0.0
726,2018-04-07,"Road crashes kill 15, injure 24, in five districts",15.0,24.0
727,2018-04-06,Newlywed couple killed in Mymensingh road crash,2.0,0.0
728,2018-04-04,8 killed in Gopalganj road accident,8.0,0.0
729,2018-03-30,3 killed in Chittagong road accident,3.0,0.0
730,2018-03-27,Assistant commissioner among two injured as truck rams police vehicle,0.0,2.0
731,2018-03-26,"11 dead, 23 injured in road accidents 100m apart",11.0,23.0
732,2018-03-10,4 killed in Kushtia road crash,4.0,0.0
733,2018-03-06,4 dead in Cox’s Bazar road crash,4.0,0.0
734,2018-03-03,Four dead in Mymensingh bus accident,4.0,0.0
735,2018-02-23,DU student killed in road accident in Cox's Bazar,1.0,0.0
736,2018-02-10,4 killed in Sunamganj road accident,4.0,0.0
737,2018-02-06,Two NGO workers killed in road accidents,2.0,0.0
738,2018-02-02,3 killed in Gazipur road accident,3.0,0.0
739,2018-01-31,"Mother, son killed in Moulvibazar road crash",2.0,0.0
740,2018-01-18,Traffic accident in heavy fog kills three,3.0,0.0
741,2018-01-16,Truck driver lands in jail over death of 13 in Chuadanga road crash,13.0,0.0
742,2018-01-16,Singer Nokul Kumar’s two co-artistes killed in Faridpur road crash,2.0,0.0
743,2018-01-09,2 killed in Gopalganj road accident,2.0,0.0
744,2018-01-01,"Road accidents kill seven in Bogra, Habiganj",7.0,0.0
745,2017-12-31,5 killed in Sirajganj road accident,5.0,0.0
746,2017-12-31,"13 vehicles collide on Bangabandhu Bridge, 30 injured",0.0,30.0
747,2017-12-29,3 killed in Bogra road accident,3.0,0.0
748,2017-12-25,21 RMG workers injured in Narayanganj road accident,0.0,21.0
749,2017-12-20,MP Golam Mostafa laid to rest in Gaibandha,1.0,0.0
750,2017-12-19,Eight freedom fighters injured in auto-rickshaw accident,0.0,8.0
751,2017-12-16,4 killed as car plunges into Sunamganj ditch,4.0,0.0
752,2017-12-15,Couple killed in Savar road accident,2.0,0.0
753,2017-11-02,4 killed in Narsingdi road accident,4.0,0.0
754,2017-10-30,Seven killed in head-on collision of buses in Pabna,7.0,0.0
755,2017-10-29,Joint secretary’s car runs over child in Gazipur,1.0,0.0
756,2017-10-21,DU VC’s son hit by speeding car on campus,1.0,0.0
757,2017-10-14,Two die in traffic accident in Cox’s Bazar,2.0,0.0
758,2017-10-10,Private car crushed between two buses in Dhaka’s Gabtoli,0.0,0.0
759,2017-10-10,"Mother, son among 4 killed in Brahmanbaria road accident",4.0,0.0
760,2017-10-04,3 killed Faridpur road accident,3.0,0.0
761,2017-09-26,3 killed in Nilphamari road accident,3.0,0.0
762,2017-09-18,Schoolgirl killed in Dhaka road accident,1.0,0.0
763,2017-09-12,"3 killed, 12 injured in Cox’s Bazar road accident",3.0,12.0
764,2017-08-27,3 killed in Gopalganj road accident,3.0,0.0
765,2017-08-25,5 killed in Pabna road accident,5.0,0.0
766,2017-08-22,5 killed in Chittagong road accident,5.0,0.0
767,2017-08-16,3 killed as lorry crushes CNG in Chittagong,3.0,0.0
768,2017-08-08,"Four killed, 8 injured in Bogra road crash",4.0,8.0
769,2017-07-30,Nationwide road crashes kill seven including university teacher,7.0,0.0
770,2017-07-29,Child killed as bus rams motorcycle in Naogaon,1.0,0.0
771,2017-07-23,Bogra bus-truck collision leaves three dead,3.0,0.0
772,2017-07-11,School girl killed as truck crashes into house,1.0,0.0
773,2017-07-10,Air force soldier killed in Ctg road accident,1.0,0.0
774,2017-07-03,Two killed in Gazipur road accident,2.0,0.0
775,2017-07-02,Two dead in Chittagong road mishap,2.0,0.0
776,2017-06-30,"3 killed, 25 injured in Rangpur accident",3.0,25.0
777,2017-06-30,Road crashes kill 18 across country,18.0,0.0
778,2017-06-29,4 of a family among six killed in Gopalganj road accident,6.0,0.0
779,2017-06-29,Four die in Sirajganj road accident,4.0,0.0
780,2017-06-29,3 killed in Khagrachhari road accident,3.0,0.0
781,2017-06-28,"Ex-Bangladesh spinner Razzak, family injured in road accident",0.0,0.0
782,2017-06-28,"Driver gives wheel to helper, 17 dead after truck overturns in Rangpur",17.0,0.0
783,2017-06-24,Speeding bus runs over father-daughter in Dhaka,2.0,0.0
784,2017-06-21,"10 killed, several injured in Bogra, Gopalganj, Jhenaidah, Habiganj road accidents",10.0,0.0
785,2017-06-19,Two killed in Dhaka road accident,2.0,0.0
786,2017-06-16,Two pedestrians killed in Munshiganj road crash,2.0,0.0
787,2017-06-02,5 killed in Chittagong road crash,5.0,0.0
788,2017-05-29,Two JU students killed in Savar road accident,2.0,0.0
789,2017-05-26,"Six, including policeman, killed in Gopalganj road accident",6.0,0.0
790,2017-05-25,3 of a family killed in Kaliakoir road accident,3.0,0.0
791,2017-05-23,3 killed as microbus plunges into roadside ditch in Chittagong,3.0,0.0
792,2017-05-14,NAPE DG killed in Chittagong road crash,1.0,0.0
793,2017-05-13,Road accidents kill 7 in 3 districts,7.0,0.0
794,2017-05-09,"5 killed, 35 injured in Jessore bus accident",5.0,35.0
795,2017-05-07,Two killed in Dhaka road accident,2.0,0.0
796,2017-04-29,3 killed in Sirajganj road crash,3.0,0.0
797,2017-04-25,2 motorcyclists killed in Cox’s Bazar accident,2.0,0.0
798,2017-04-22,Rickshaw puller killed in Dhanmondi road accident,1.0,0.0
799,2017-04-21,Two killed in Mymensingh road accident,2.0,0.0
800,2017-04-21,Road crashes take 11 lives in 5 districts,11.0,0.0
801,2017-04-16,Four killed in Narsingdi road accident,4.0,0.0
802,2017-04-16,Road accidents kill five in Sirajganj,5.0,0.0
803,2017-04-10,Road crashes take 18 lives across country,18.0,0.0
804,2017-04-09,3 killed in Mymensingh road accident,3.0,0.0
805,2017-03-27,Cop run over by pickup van in Narayanganj,1.0,0.0
806,2017-03-27,Road accidents kill 18 in 4 districts,18.0,0.0
807,2017-03-26,12 killed in Chuadanga road crash,12.0,0.0
808,2017-03-26,Three Bangladeshis killed in Saudi Arabia road crash,3.0,0.0
809,2017-03-25,Four children among 13 killed in road crashes,13.0,0.0
810,2017-03-25,5 from one family among 10 killed in Mymensingh lorry crash,10.0,0.0
811,2017-03-24,"1 killed, 2 injured in Narayanganj road accident",1.0,2.0
812,2017-03-22,Truck runs over school teacher in Chittagong,1.0,0.0
813,2017-03-22,Two killed in a Tangail road accident,2.0,0.0
814,2017-03-19,Child among 5 killed in fatal road accident,5.0,0.0
815,2017-03-19,"Accidents kill 4 in Kushtia, Jamalpur",4.0,0.0
816,2017-03-11,Biker killed during police chase in Comilla,1.0,0.0
817,2017-03-10,"Truck kills boy, driver held",1.0,0.0
818,2017-03-08,Van carrying 24 prisoners overturns in Tejgaon,0.0,24.0
819,2017-03-03,"3 killed, 25 injured in Rangpur road accident",3.0,25.0
820,2017-02-27,Four killed as microbus overturns in Cox’s Bazar,3.0,0.0
821,2017-02-25,Experts: Police not equipped to probe accidents,0.0,1.0
822,2017-02-22,Hotelier killed in Dhaka road crash,1.0,0.0
823,2017-02-22,Three killed in Chittagong road accident,3.0,0.0
824,2017-02-19,Four killed in a Sirajganj road accident,4.0,0.0
825,2017-02-18,6yr old killed in Gopalganj road crash,1.0,0.0
826,2017-02-18,Bangladeshi technician jailed and banned for causing rider's death,1.0,0.0
827,2017-02-16,Case filed over Narsingdi road accident,0.0,0.0
828,2017-02-13,4 killed in Magura road accident,4.0,0.0
829,2017-02-11,"DGFI officer, ex-army man killed in Gazipur road mishap",1.0,0.0
830,2017-02-11,13 dead in bus cylinder blast in Faridpur,13.0,0.0
831,2017-02-11,Biker killed in Dhaka road accident,1.0,0.0
832,2017-02-09,4 killed in Narayanganj road accident,4.0,0.0
833,2017-02-08,Bangladesh Bank official killed in Dhaka road accident,1.0,0.0
834,2017-02-07,Police constable killed in Cox’s Bazar road crash,1.0,0.0
835,2017-02-04,Two AL leaders killed in Natore road mishap,2.0,0.0
836,2017-02-04,14 killed in road mishaps across country,14.0,0.0
837,2017-02-04,8 killed as truck runs into funeral programme,8.0,0.0
838,2017-02-03,3 burnt to death in microbus gas cylinder blast,3.0,0.0
839,2017-02-03,4 killed in Ashulia road mishap,4.0,0.0
840,2017-02-02,Road accidents kill 8 in 3 districts,8.0,0.0
841,2017-02-02,3 bike riders killed in Chittagong road accident,3.0,0.0
842,2017-02-02,30 injured in Savar road accident,30.0,0.0
843,2017-02-01,4 killed in Gazipur truck plunge,4.0,0.0
844,2017-01-02,Student killed in accident at Mirpur,1.0,0.0
845,2016-12-27,10 killed in road accidents in five districts,10.0,0.0
846,2016-12-25,5 killed in Comilla road accidents,5.0,0.0
847,2016-12-23,Road accidents kill 4 in 3 districts,4.0,0.0
848,2016-12-23,4 killed in Gazipur road accident,4.0,0.0
849,2016-12-18,12 killed in road accidents in five districts,12.0,0.0
850,2016-12-18,Bus-human hauler collision kills four,4.0,0.0
851,2016-12-16,3 killed in Mymensingh road accident,3.0,0.0
852,2016-12-09,Two homeless women killed and 5 injured in hit-and-run accident,2.0,5.0
853,2016-12-06,Four die in Brahmanbaria road accident,4.0,0.0
854,2016-11-30,"Mother, daughter killed in Mymensingh road accident",2.0,0.0
855,2016-11-29,"One killed, 25 injured in Kushtia road accident",1.0,25.0
856,2016-11-20,Three killed in 3 districts,3.0,0.0
857,2016-11-20,2 killed in Sirajganj road accident,2.0,0.0
858,2016-11-04,Two ran over by bus in Narayanganj,2.0,0.0
859,2016-11-04,"Mother, son among 4 killed in Khulna road accident",4.0,0.0
