date_of_incident,time_of_incident,published-time,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,description_text,full_text,published-time,link
2021-03-20,,"20 Mar 2021, 07:44",Stationary  crash,Chattogram,2.0,,motocycle,Microbus,2 killed in Chattogram road crash,"At least two people were killed as a motorbike crashed into a microbus in front of SI Park Community Center in Satkania on Chattogram-Cox's Bazar highway on Saturday, reports UNB.  The deceased are Obadul Haque, 30, son of Abdul Rahman of Lohagara's Sukhchhari area and Md. Noman, 22, son of Md. Osman of Jangol Padua area of Padua union.  Dohazari highway police station officer-in-charge Abdur Rob said the two motorcyclists were killed after the motorbike collided with the microbus in the morning. The microbus and the motorcycle were seized. ","20 Mar 2021, 07:44",https://en.prothomalo.com/bangladesh/accident/2-killed-in-chattogram-road-crash-2
2021-03-19,,"18 Mar 2021, 23:51",,Sirajganj,3.0,,auto-rickshaw,Truck,Sirajganj road crash kills 3 auto-rickshaw passengers,"Three people were killed after a truck hit a CNG-run auto-rickshaw in Shahjadpur upazila of Sirajganj early Friday, police said. The deceased were identified as auto-rickshaw driver Asif Hossain, 25, from Shaktipur village of Shahjadpur, passengers Sakib Hasan, 22 and Rashidul, 24, from Dwariapur village of the same upazila. A truck from the opposite direction hit the CNG-run auto-rickshaw on Bogura-Nagarbari road in Dwariapur area of Shahjadpur upazila early Friday, leaving the three people dead and the auto-rickshaw completely destroyed. Hatikumrul highway police station officer-in-charge Shahjahan Ali told Prothom Alo that the bodies were handed over to the families as they did not have any complaint in this regard. Police have seized the truck but the driver managed to flee the scene, he added.","18 Mar 2021, 23:51",https://en.prothomalo.com/bangladesh/accident/sirajganj-road-crash-kills-3-auto-rickshaw-passengers
2021-03-16,19:00:00,"16 Mar 2021, 22:49",head-on,Feni,1.0,1.0,Tractor,Motorcycle,Police officer killed in Feni bike accident,"A newly appointed sub-inspector of police was killed while his friend sustained serious injuries when a speeding tractor crashed into their bike in Feni district on Tuesday night, police said, reports UNB. The accident occurred on the busy Chourasta-Maizdi Road at Chengarpole in Choumuhani of Feni district around 7:00pm when 31-year-old Mizanur Rahman Rony was on his way to join duty at the Begumganj Model Police Station. Sub-inspector of Sudharam Model Police Station, Yusuf, said the tractor hit the bike at a high speed, leaving Mizanur and his friend Zahidul Islam, the pillion rider, badly injured. The two were immediately rushed to Noakhali General Hospital, where Mizanur succumbed to his injuries around 9:00 pm, the officer said. “Zahidul has been shifted to a hospital in Dhaka for better treatment.” Mizanur, son of Sirajuddoula of Shonagazi upazila, was recently appointed as a sub-inspector at the Begumganj Model Police Station, said the officer-in-charge.","16 Mar 2021, 22:49",https://en.prothomalo.com/bangladesh/accident/police-officer-killed-in-feni-bike-accident
2021-03-14,,"14 Mar 2021, 08:51",head-on,Panchagarh-Debiganj highway,1.0,3.0,auto-rickshaw,Tractor,"One killed, 3 injured in Panchagarh road accident","A women was killed and three others injured in a road accident at Bypass intersection on Panchagarh-Debiganj highway in Boda upazila of the district Sunday, reports BSS.  The deceased is Sufia Kathun, 50, wife of Raisul Islam of Mirpara village in Boda upazila. Officer-in-charge of Boda thana Abu Sayed Chowdhury said the accident occurred when a three-wheeler collided head-on with a sand-laden tractor at the Bypass intersection this afternoon, leaving Sufia dead on the spot and three other passengers injured. The injured are three-wheeler driver Joshim, 40, Dulu Sarker,60, and victim’s husband Raisul, 70. Boda thana police and fire service personnel, being informed, rushed to the spot and recovered the body and injured persons. Later, the injured were admitted to Rangpur Medical College Hospital for treatment.","14 Mar 2021, 08:51",https://en.prothomalo.com/bangladesh/accident/one-killed-3-injured-in-panchagarh-road-accident
2021-03-13,,"13 Mar 2021, 01:15",head-on,Chattogram,2.0,5.0,microbus,Truck,Two musicians killed in Chattogram road accident,"Two of the country's leading musicians -- percussionist Hanif Ahammed and drummer Partha Guha -- died in a fatal road crash in Chittagong on Saturday morning, reports UNB. The accident occurred in the Mirsarai area of Chittagong around 5 am on Saturday when a group of musicians, including Hanif and Partha, and singer Beauty Khan, were on their way to Cox's Bazar for a concert. On Friday night, the artistes performed at a stage show in Chandpur. Police said that a microbus in which the artistes were travelling collided head-on with a truck coming from the opposite direction. The impact of the collision was such that Partha died on the spot while others sustained injuries. They were rushed to Chittagong Medical College Hospital, where Hanif was declared dead on arrival by doctors. The other injured -- vocalist Beauty Khan and musicians Nandan, Rahat, Pappu and Tauhid -- are currently being treated there. Hanif's elder brother Manik and musician Imran have confirmed the news of the fatal accident, while artistes from all over the country are mourning the ""tragic demise"" of Hanif and Partha on social media. Of the injured, doctors at the hospital said, the condition of Beauty Khan is critical. Both Hanif and Partha have played with almost all renowned singers and musicians in the country in the past two decades. Celebrated musicians, including Ankhi Alamgir, Kona, Elita Karim, Kornia, Muhin and Arfin Rumey, have expressed ""deep shock"" on social media over the tragic accident.","13 Mar 2021, 01:15",https://en.prothomalo.com/bangladesh/accident/two-leading-musicians-die-in-road-crash-in-chittagong
2021-03-11,18:00:00,"11 Mar 2021, 06:08",caught fire,Cumilla,2.0,22.0,bus,,"Two killed, 22 injured as bus catches fire in Cumilla","Two people were killed and 22 others injured as a running bus caught fire in Cumilla’s Daudkandi on Thursday evening. The fire broke out at a bus of Matlab Paribahan while it was crossing Cumilla’s Gouripur Bus Stand area at around 6:00pm. The bus was heading towards Chandpur’s Matlab from Dhaka. Daudkandi highway police’s habildar Ashraful Alam confirmed the death of two. He said 15 injured passengers of the bus were sent to Dhaka. Two more passengers were admitted to Daudkandi upazila health complex. Five were given primary treatment.  It’s suspected the fire originated from the gas cylinder of the bus. Daudkandi fire service officials rushed to the spot and brought the blaze under control. Mohammad Jamal Uddin, residential medical officer of the Daudkandi upazila health complex, said the injured persons are in critical condition. The accident has created about seven kilometre long tailback in Dhaka-Chattogram highway. Daudkandi highway police station’s officer-in-charge Jahirul Haque said the bodies are kept under the police’s supervision. The authorities are trying to normalise the vehicular movement on the highway, he added.","11 Mar 2021, 06:08",https://en.prothomalo.com/bangladesh/accident/three-killed-as-bus-catches-fire-in-cumilla
2021-03-10,,"11 Mar 2021, 21:00",head-on,Panchagarh,1.0,0.0,motocycle,Truck,One killed in Panchagarh road accident,"A motorcyclist was killed in a road accident in Rousonbagh area on the Panchagarh-Jalashi highway of Panchagarh district on Wednesday. The deceased was identified as Masud Rana, 24, son of Nur Islam of Jalashi village in the district. Police said the accident occurred when an easy-bike knocked his motorcycle. In no time a sand-laden truck coming from opposite direction ran over Masud Rana, leaving him dead on the spot. Being informed, Sadar thana police rushed to the spot and recovered the body with the help of locals. Police seized the truck but the driver managed to flee. Sadar Thana officer-in charge Abu Akkas Ahamad confirmed the incident.","11 Mar 2021, 21:00",https://en.prothomalo.com/bangladesh/accident/one-killed-in-panchagarh-road-accident
2021-03-07,13:45:00,"07 Mar 2021, 19:59",head-on,Dhaka,1.0,,bus,bus,Mother of two crushed between two buses in city,"A woman died after being crushed between two vehicles while crossing the road in front of Gulistan Golap Shah Mazar in the capital on Sunday, reports UNB.  The victim was identified as Parveen Begum (40). The incident occurred at around 1:00pm.  A Bangladesh Red Crescent Society volunteer rescued the woman in a critical condition and took her to the emergency department of Dhaka Medical College Hospital where the on-duty physician declared her dead at around 1:45 pm.   Talking to reporters at the DMCH, the physician said the woman was caught between two passenger buses-N Mallick Paribahan and Aram Paribahan in front of Golap Shah Mazar. Abdul Baset, the husband of the victim, said, ""My daughter Sumaiya, who is sick, came to Dhaka from Munshiganj with her mother around 7:00am on Sunday.""  From there they were supposed to catch a Mirpur-bound bus to go to Shaheed Suhrawardy Medical College Hospital for Sumaiya's treatment. But Sumaiya crossed the road first soon after she got down from the bus and her mother Parveen met her fate while trying to cross the road, Baset said. Parveen was the mother of two daughters. The family resides in Sirajdikhan upazila under Munshiganj district. Her husband runs a clothing business in Dhaka. DMCH police camp in-charge inspector Bachhu Mia said the body was sent to the hospital morgue for autopsy. ","07 Mar 2021, 19:59",https://en.prothomalo.com/bangladesh/accident/mother-of-two-crushed-between-two-buses-in-city
2021-03-03,05:30:00,"06 Mar 2021, 23:11",,Dhaka,2.0,,Truck,Pedestrian,3 killed in Cox’s Bazar road crash,"Three people were killed and seven others injured when a truck ploughed through a footpath at Kalatoli Dolphin Chattar in Cox’s Bazar district town on Saturday night, reports news agency UNB. The deceased were identified as Momena Begum, 70, of Kalatoli (South) village, Mohamamd Shahadat Hossain and advocate Osman Goni, of Chakaria upazila. The cement-laden truck ploughed through a footpath around 11:30pm, leaving 10 people injured, said Manirul Gias, officer-in-charge of sadar police station. The injured were taken to Sadar Hospital where three people succumbed to their injuries. Two shops, two CNG run auto-rickshaws and one human hauler got twisted during the incident. Road accidents in Bangladesh continue to claim hundreds of lives every year. At least 484 people were killed and 673 injured in 427 road accidents in January this year. According to Road Safety Foundation (RSF) accident rates jumped by 25.58 per cent and fatalities by 8.76 per cent in January this year compared to the same period last year. At least 445 lives were lost in 340 road accidents in January 2020, according to RSF. In a report released in February 2020, the World Bank said that Bangladesh needed to invest an estimated extra $7.8 billion over the next decade to halve its road crash fatalities. The report attributed the high death rate on Bangladesh’s roads to lack of investments in systemic, targeted, and sustained road safety programmes.","06 Mar 2021, 23:11",https://en.prothomalo.com/bangladesh/accident/3-killed-in-coxs-bazar-road-crash
2021-03-03,16:00:00,,,Dhaka,1.0,,Motorcyle,,,,,
2021-02-25,05:30:00,"25 Feb 2021, 21:43",head-on,Bogura,11.0,,bus,bus,"At least 11 killed in Sylhet, Bogura","At least 11 people were killed in two road accidents in Sylhet and Bogura districts early Friday. In Sylhet, at least seven people killed in a head-on collision between two buses on Dhaka-Sylhet highway in Rashidpur area of the metro on Friday morning, police said. Dakshin Surma police and fire service members rushed to the scene and started rescue operations. Additional deputy commissioner (media) of Sylhet metropolitan police, ABM Ashraf Ullah, said police got information of at least seven deaths so far. The number of casualties might rise, he added. According to police and fire service, a Dhaka-bound bus of Ena Paribahan collided head-on with a bus of London Express coming from Dhaka in Rashidpur area of Sylhet. A local source said drivers of both the buses were killed in the accident. Traffic movement was halted on both sides of the route after the accident. In Bogura, four people were killed on the spot after a bus hit a CNG-run auto-rickshaw in Shajahanpur upazila of the district around 5:30am today. All of the deceased were passengers of the auto-rickshaw. Highway police could identify two of the deceased as fish vendor Kalidas, 72, from Demajani village of the upazila and Shah Jamal, 34, from a neighbouring village. A Gaiandha-bound Shawon Paribahan bus from Dhaka hit the CNG-run auto-rickshaw from behind in front of the main gate of Majhira cantonment. The accident left the auto-rickshaw totally damaged and four of its passengers dead on the spot, said Baniul Anam, inspector of Highway Police at Garidah outpost, Sherpur.","25 Feb 2021, 21:43",https://en.prothomalo.com/bangladesh/accident/at-least-11-killed-in-sylhet-bogura
2021-02-25,06:00:00,"25 Feb 2021, 00:09",head-on,Dhaka,1.0,10.0,bus,truck,"Bus-truck collision in Manikganj leaves one killed, 10 injured","At least one person was killed and as many as 10 others were injured in a head-on collision between a passenger bus and a truck in Manikganj’s Ghior upazila on Thursday morning, police said. The accident took place near Manikganj Road in the Pachuria area of Dhaka-Aricha highway around 6 am, disrupting traffic movement on the high-speed corridor for nearly two hours, reports UNB. ""The bus crashed into the truck at high speed after its driver lost control of the vehicle. The truck driver was killed on the spot in the impact of the accident,"" a police official said. The deceased has been identified as Rakib Hossain, son of Yakub Ali of Shibrampur village under Kotwali upazila of Faridpur district, he said. ""Firefighters had to be called in to pull the body out of the mangled truck,"" he said. All the 10 injured passengers of the bus have been hospitalised, the official said. Commuters had a harrowing time as the accident triggered nearly a two-hour traffic jam on the Dhaka-Aricha highway with a tailback of 3 km on both its carriageways. Traffic movement resumed around 8:00am after police brought in cranes to remove the ill-fated vehicles from the road. ","25 Feb 2021, 00:09",https://en.prothomalo.com/bangladesh/accident/bus-truck-collision-in-manikganj-leaves-one-killed-10-injured
2021-02-22,08:30:00,"22 Feb 2021, 00:32",head-on,Chattogram,2.0,,bus,truck,Bus-truck collision leaves 2 dead in Chattogram,"Two people were killed and six others injured in a head-on-collision between a bus and a truck on Chattogram-Cox’s Bazar highway at Chunti Forest Gate in Lohagarah upazila of Chattogram district on Monday morning, UNB reports. The deceased were identified as Rina Akter, 18, wife of one Lokman of East Beula Shikdar Para in Chokoria upazila and Senu Ara Begum, 29, daughter of one Altaf Ahmed of Ramu upazila in Cox’s Bazar district. The accident occurred around 8:30am when the Chattogram bound ‘Marsa Paribahan’ bus collided head on with a stone-laden truck, leaving two passengers of the bus dead, said inspector Abdur Rauf of Dohazari Highway Police Station. The truck fell into a road side ditch after the collision. The injured were taken to the upazila health complex. On information, police recovered the bodies and sent those to a local hospital morgue. Police also seized the two vehicles.","22 Feb 2021, 00:32",https://en.prothomalo.com/bangladesh/accident/bus-truck-collision-leaves-2-dead-in-chattogram
2021-02-22,07:30:00,"22 Feb 2021, 20:44",head-on,Kamarkhand,5.0,,bus,truck,Bus-truck collision in Sirajganj leaves 5 dead,"At least five people were killed and 23 others were injured in a head-on-collision between a bus and a truck at Konabari in Kamarkhand upazila of Sirajganj district on Tuesday, reports UNB.  One of the deceased was identified as Fazlul Haque, a 78-year-old freedom fighter from Bogura district. Identities of other victims are yet to be known. The accident took place around 7:30am on Bangabandhu Bridge west link highway.  ""The Mymensingh-bound bus from Bogura crashed into the truck coming from the opposite direction this morning,"" said officer-in-charge of Bangabandhu bridge west police station, Mosaddek Hossain. The impact of the collision was such that five people were killed on the spot, while 23 others sustained injuries, he said.  Those injured were immediately rushed to 250-bed Bangamata Sheikh Fazilatunnesa Mujib General Hospital. ""Of the 23 injured, seven people are said to be in a critical condition,"" the officer said. The bodies have been sent to the local hospital morgue for autopsy. ","22 Feb 2021, 20:44",https://en.prothomalo.com/bangladesh/accident/bus-truck-collision-in-sirajganj-leaves-5-dead
2021-02-20,04:45:00,"20 Feb 2021, 21:25",head-on,Bogura,6.0,,truck,bus,Truck-bus collision kills 6 in Bogura,"Six people were killed and 10 others injured in a head-on collision between a stone-laden truck and a passenger bus in Sherpur upazila in Bogura on Saturday. The accident took place at College Road area in Sherpur pourashava at around 4:45am. The deceased include bus driver Babul Shaha, 52, of Gosaipara in Sherpur and his assistant Idris Ali, 40, of Dhonkundi village of the upazila. Identities of other victims could not be ascertained. The injured persons were taken to Sherpur upazila health complex and Shahid Ziaur Rahman Medical College Hospital in Bogura. A witness said both the vehicles were driving recklessly. Road link was snapped in the area after the accident. Police and fire service officials reached the spot and rescued the victims. AKM Baniul Alam, in charge of highway police post, said the deceased include drivers of the bus and truck, assistant of the bus driver and three passengers of the bus. The bodies were taken to highway police post.","20 Feb 2021, 21:25",https://en.prothomalo.com/bangladesh/accident/truck-bus-collision-kills-6-in-bogura
2021-02-15,10:00:00,"15 Feb 2021, 01:24",Overturned,Narail,1.0,0.0,Truck,,Road accident kills one in Narail,"A man was killed in a road accident in Kathadura area in Naragati thana of Kalia upazila of Narail on Monday, BSS reports. The deceased was identified as Md. Iqbal Molla, 40, son of one Sahabuddin Molla, from Chanderchar village in Kalia Upazila in the district. Police and witnesses said the driver of a human hauler, locally called Nosimon, was crushed and seriously injured when the Nosimon overturned on Monday around 10:00am. Locals rescued him and took him to Lohagora Upazila Health Complex where the physician declared him dead. Naragati thana officer-in-charge Roksana Khanom said a general diary was filed in this connection.","15 Feb 2021, 01:24",https://en.prothomalo.com/bangladesh/accident/road-accident-kills-one-in-narail
2021-02-14,05:30:00,"14 Feb 2021, 01:14",Lost control,Syllhet,2.0,0.0,Truck,,Two killed in Sylhet road accident,"Two people were killed after a truck plunged into a canal from a bridge in Jaintiapur upazila of Sylhet early Sunday. The deceased were identified as Ebadur Rahman, the driver of the truck, and Russel Ahmed, the driver’s assistant, both hailing from Jaintiapur. Police said the accident occurred around 5:30am on Sylhet-Tamabil road at Damri Bridge. The soil-laden truck fell into a canal from Damri Bridge, killing two people on the spot, said Mohamamd Ibrahim, officer-in-charge of Jointapur Police Station. On information, police and fire service members recovered the bodies with the help of locals around 7:30am.","14 Feb 2021, 01:14",https://en.prothomalo.com/bangladesh/accident/two-killed-in-sylhet-road-accident
2021-02-12,16:45:00,"12 Feb 2021, 08:16",head-on,Rangpur,2.0,0.0,motocycle,Bicycle,Two killed in Rangpur road accident,"Two persons were killed in a head-on collision between a running motorcycle and a bicycle at Khalashpeer point on the Pirganj-Nababganj road in Pirganj upazila in Rangpur on Friday afternoon, reports BSS.  “The accident occurred when the motorcycle hit the bicycle at Khalashpeer Hat point at 4:45pm. Both the motorcyclist and bicyclist were killed on the spot,” officer-in-charge (OC) of Pirganj police station Saresh Chandra said this evening. The deceased were identified as motorcyclist fire service personnel Asadul Haque, 25, of village Thakurdas Laksmipur and bicyclist Tofazzal Hossain, 65, of village Banspukuria in Pirganj upazila. The dead bodies were handed over to relatives of the respective victims after completing the necessary legal process. “None filed a case in this connection with Pirganj police station,” the OC confirmed at 7:20 pm.","12 Feb 2021, 08:16",https://en.prothomalo.com/bangladesh/accident/two-killed-in-rangpur-road-accident
2021-02-11,10:00:00,"10 Feb 2021, 19:04",head-on,Cox's Bazar,3.0,5.0,Bus,Auto Rickshaw,3 killed in Cox’s Bazar road accident,"A road accident in Cox’s Bazar left three persons, including a child, dead and five others injured on Wednesday, UNB reports. The accident occurred on the Teknaf-Cox’s Bazar road around 10:00am. A passenger bus and an autorickshaw collided head-on, leaving three-wheeler passenger Salamat Ullah, 55, and his son Nazrul, 30, dead on the spot. Members of Hoikyang police outpost rescued the injured and took them to Palangkhali Goyalmara MFH Hospital and seized the bus. A young girl, aged about 8, died at the hospital, local sources said. Five of the victims have been shifted to Cox’s Bazar Sadar Hospital for better treatment. Hospital sources say two of them are in critical condition. Teknaf Model Police Station’s officer-in-charge Md Abdul Alim said they have so far received information about deaths of three persons in the accident.","10 Feb 2021, 19:04",https://en.prothomalo.com/bangladesh/accident/3-killed-in-coxs-bazar-road-accident
2021-02-10,15:00:00,"10 Feb 2021, 03:25",head-on,jhenaidah,9.0,,truck,bus,Nine killed as truck hits bus in Jhenaidah,"Nine people have been killed in a road accident at Barobazar area of Kaliganj in Jhenaidah. The accident took place at around 3:00pm on Wednesday. Witness Abdul Wahed said a Magura-bound bus of JK Parabahan, coming from Jashore, arrived in the Barobazar area of Jhenaidah’s Kaliganj upazila. At that time, the driver tried to overtake a truck. As he saw another truck coming from the opposite direction, the bus driver tried to stop the vehicle but failed losing control over the steering. The bus instantly overturned on the highway. Moments later, the truck, coming from the opposite direction, hit the overturned bus, killing nine on the spot and injuring many more. Police couldn’t provide the details of the deceased immediately. The injured were sent to Kaliganj upazila health complex and Jashore sadar hospital for treatment. Officer-in-change (OC) of Kaliganj police station Mahfuzur Rahaman confirmed the death of nine people in the incident.","10 Feb 2021, 03:25",https://en.prothomalo.com/bangladesh/accident/nine-people-killed-as-truck-hits-bus-in-jehaidah
2021-02-08,,"08 Feb 2021, 07:11",Lost control,Chandpur,2.0,30.0,Bus,,"2 killed, 30 injured in Chandpur road accident","Two female passengers were killed on the spot and 30 more wounded on Monday afternoon, as a bus fell into a roadside ditch in Moutabari area under Shahrasti upazila of Chandpur, reports UNB. The deceased are Biva Rani Dash, 62, from Naora village of Shahrasti upazila and Geeta Rani Bhowmik, 65, from Cumilla's Nimsar area. Shahrasti police station officer-in-charge (OC) Md Abdul Mannan said the Chandpur-bound passenger bus of ‘Bogdad Paribahan’ carrying the victims fell into roadside canal after the driver lost control over steering, leaving two passengers dead on the spot and 30 others injured. Shahrasti station police and Shahrasti-Hajiganj fire service jointly conducted a drive to rescue the stuck passengers and immediately sent them to hospital, said OC Mannan. Shahrasti Upazila Health Complex's physician Jahanara Aktar said both the female passengers died on the spot. Three passengers including females are admitted to the hospital with severe injuries. Jahanara said 15 passengers have already left the hospital after receiving primary treatment.","08 Feb 2021, 07:11",https://en.prothomalo.com/bangladesh/accident/2-killed-30-injured-in-chandpur-road-accident
2021-02-06,,"06 Feb 2021, 18:52",Hit pedestrian,Sylhet,1.0,,van,Pedestrain,5-year-old crushed under pick-up van in Sylhet,"A 5 –year-old has been crushed under a pick-up van in Bishwanath area of Sylhet on Saturday, reports UNB. The deceased was identified as Akikur Rahman, 5, son of a brick kiln labourer from Joyshiddhi village in Kishorganj district. According to the witnesses, after buying a packet of chips from the shop near the brick-kiln his father works at, Akik was crossing the Bishwanath-Jagannathpur road. Meanwhile a Jagannathpur-bound pick-up van came from the opposite side and crushed him. Locals rescued and rushed Akik in a critical condition to Sylhet Osmani Hospital where the doctors announced him dead. Bishwanath police station’s additional superintendent Debashish Sharma said, the child’s body is in the Osmani Hospital now and the pick-up van is kept under the custody of local Truck workers Union’s president.","06 Feb 2021, 18:52",https://en.prothomalo.com/bangladesh/accident/5-year-old-crushed-under-pick-up-van-in-sylhet
2021-02-03,,"03 Feb 2021, 00:29",head-on,Jashore,2.0,2.0,motocycle,Motorcycle,Two killed in Jashore road accident,"Two Motorcycle riders were killed and another two injured as two motorbikes collided head-on at Charavita area on Jashore-Narail road in Bagherpara upazila of the district on Tuesday evening, reports UNB. The deceased were identified as Md. Al Amin, 27, son of Anwar Hossain resident of Rajapur village in Lohagora upazila of Narail district and Yasin Rahman, 25, son of Mizanur Rahman of Teghori village in Bagherpara upazila under Jashore district. The accident took place at Charavita area on Jashore-Narail road when two motorbikes collided head-on, leaving Al Amin dead on the spot. Another injured Yasin died on the way to Khulna General Hospital, said Firoz Uddin, officer-in-charge (OC) of Bagherpara thana. Another injured two Motorcycle riders Kabil Sheikh, 26, and Sabbir Hossain, 17, were admitted in Jashore 250-bed general Hospital.","03 Feb 2021, 00:29",https://en.prothomalo.com/bangladesh/accident/two-killed-in-jashore-road-accident-2
2021-02-01,11:00:00,"03 Feb 2021, 18:57",fell-off bus,Thakurgaon,1.0,,bus,,Elderly woman dies after falling off a moving bus,"An elderly passenger was killed after she fell off a moving bus on Monday in Thakurgaon’s Haripur, UNB reports. The deceased was identified as Mukseda, 60, wife of one Lokman Hossain of Jhaborgachi village under Haripur Upazila in Thakurgaon. The accident took place on Wednesday at around 11:00am when the 60-year- old woman fell off a Haripur-bound mini bus that left from Thakurgaon, confirmed the officer in charge (OC) of Haripur Police Station and UP chairman Pavel Taluqdar. Other passengers from the vehicle and bus driver rescued the woman and rushed her to Haripur Upazila Hospital for treatment. The woman succumbed to her injuries as the hospital physicians declared her dead. The OC said the woman fell off her seat next to the gate as the driver of the minibus pulled the break to save a goat.","03 Feb 2021, 18:57",https://en.prothomalo.com/bangladesh/accident/elderly-woman-dies-after-falling-off-a-moving-bus
2021-01-31,08:45:00,"31 Jan 2021, 00:07",head-on,Sherpur,4.0,2.0,Truck,Auto Rickshaw,4 killed in Sherpur road accident,"Four people were killed and two others injured after a truck hit a CNG-run auto-rickshaw on Sherpur-Jhenaigati road at Mirzapur in Sadar upazila of Sherpur on Sunday, reports UNB. Three of the deceased were identified as Selim Mia, 25, son of one Taher Ali of Chandgao Tingharia area of Nalitabari upazila, Roksana Begum, 30, wife of Rafiqul Islam of Naljora area and Jobed Ali, 25, son of one Yusuf Ali of Bandadhara in Sadar upazila. Abdullah Al Manun, officer-in-charge of Sadar Police Station, said the accident occurred around 8:45am when the truck hit an auto-rickshaw, leaving three people dead on the spot and injured three others. The injured were taken to Sherpur District Hospital where another victim succumbed to the injuries later. Five of the victims were passengers of the auto-rickshaw going to Sherpur from Jhenaigati. Traffic remained suspended for some time after the accident. Police rushed to the spot and rescued the victims after the accident. Police also seized the bus but could not arrest the driver of the truck as he fled the scene.","31 Jan 2021, 00:07",https://en.prothomalo.com/bangladesh/accident/4-killed-in-sherpur-road-accident
2021-01-25,,"25 Jan 2021, 18:34",head-on,Dinajpur,2.0,,pickup,Motorcycle,2 killed in Hili road accident,"Two men were killed in a head-on collision between a motorcycle and a pickup van in Dinajpur’s Hili on Monday, UNB reports. The deceased were identified as Shakhawat Hossain, a final year student of Badarganj Government College and Najrul Islam from Badarganj upazila. Hakimpur Police Station’s in-charge Ferdous Wahid said Shakhawat and Najrul were returning to Badarganj from Hili on a motorcycle. They collided head-on with a pickup van. They died on the spot. Their bodies were recovered by police and taken to the police station.","25 Jan 2021, 18:34",https://en.prothomalo.com/bangladesh/accident/2-killed-in-hili-road-accident
2021-01-23,19:30:00,"23 Jan 2021, 20:59",head-on,Jashore,1.0,0.0,Truck,Motorcycle,One killed in Jashore road accident,"A man was killed as a truck hit his motorbike in the town’s New Khairtola area on Saturday night. The deceased was identified as Md. Sabuj Islam, 32, son of Sahidul Islam resident of Baluhar area in Kotchandpur upazila of Jhenidah district. Police and witnesses said, the accident took place at New Khairtola area on the Jashore-Jhenidah Road around 7.30pm when a truck hit his motorbike leaving him seriously injured. Locals rescued him and took to Jashore 250-bed general hospital where the physician declared him dead. He was heading towards his home at Baluhar area in Kotchandpur upazila from Jashore town. The body was sent to Jashore 250-bed general Hospital morgue for autopsy. Kotwali Model thana officer in charge (OC) Md.Moniruzzaman said,a General Diary (GD) was filed in this connection.","23 Jan 2021, 20:59",https://en.prothomalo.com/bangladesh/accident/one-killed-in-jashore-road-accident
2021-01-21,,"21 Jan 2021, 21:51",Lost control,Bandarban,3.0,5.0,Truck,,3 killed in Bandarban road accident,"Three people were killed and five others injured as a jeep locally called Chander Gari plunged into a ditch on Thanchi-Likri Road on Thursday morning, BSS reports. The deceased mostly labourers were identified as Md Ashu, hailed from Cox’s Bazar district, Md Hossain, from Chattogram and Payel Bom, from Thanchi Upazila. . Officer-in-charge of Thanchi Thana Md Sifuddin Anowar said the accident occurred as the driver of the Chander Gari lost his control over steering in Tin Kilometer area on the road. Ashu, Hossain and Payel Bom died on the spot. The Chander Gari was heading towards Thanchi. Injured people were admitted to Bandarban Sadar Hospital.","21 Jan 2021, 21:51",https://en.prothomalo.com/bangladesh/accident/3-killed-in-bandarban-road-accident
2021-01-21,,"21 Jan 2021, 23:23",head-on,Meherpur,1.0,1.0,Bus,Motorcycle,Woman killed in Meherpur road accident,"A 50-year-old woman was killed as a passenger bus rammed the motorbike she was sitting on from the behind in Meherpur city on Thursday night. The deceased Karfina Akhter was returning home at Amdah village of Meherpur sadar upazila with her husband Golam Mustafa. As per the witnesses, Mustafa and his wife were returning home by motorbike when a passenger bus hit their vehicle at College Mor (intersection) area. Kafrina fell on the street and her head was crushed. Locals took them to hospital where the physician declared Kafrina dead. The witnesses said they saw a 17 to 18-year-old boy, who was apparently driving the bus, flee immediately after the accident. Meherpur sadar police station officer-in-charge said, a police team has been sent to arrest the driver and his assistants.","21 Jan 2021, 23:23",https://en.prothomalo.com/bangladesh/accident/woman-killed-in-meherpur-road-accident
2021-01-18,07:15:00,"17 Jan 2021, 22:21",head-on,Dhaka,2.0,,Bus,Motorcycle,Road accident kills couple in city,"A couple was killed in a road accident near Padma Oil gate on Airport Road in Dhaka on Monday morning. Sub inspector of Airport police station Moshiul Alam said the accident took place at around 7:15am. The couple, Akash Iqbal and Maya Hazarika, was on the way to their respective workplaces while a bus of Azmeri Paribahan hit their motorbike near the under construction terminal of the airport. Akash worked at Padma bridge project and Maya at Hotel Lake Castle. The couple died on spot. Police said the bus has been brought to the local police station and bodies were sent to Dhaka Medical College Hospital for autopsy.","17 Jan 2021, 22:21",https://en.prothomalo.com/bangladesh/accident/road-accident-kills-couple-in-city
