Newspaper Name,Accident date,Header,News title,Deaths,Injured
Dhaka Tribune,Mar 7 2021,3 killed as truck runs over pedestrians in Cox's Bazar,3 die as truck runs over...,3,0
Dhaka Tribune,Mar 6 2021,"6 killed, 5 injured in road accidents","6 killed, 5 injured in road...",6,0
Dhaka Tribune,Mar 5 2021,One killed in road accident in Narail,One killed in road accident in...,1,0
Dhaka Tribune,Mar 2 2021,"13 dead after SUV, truck collide in California",13 killed in California crash,13,0
Dhaka Tribune,Feb 27 2021,"2 dead, 10 injured in head on collision in Cox's Bazar","2 dead,10 injured in Cox’s Bazar road...",2,0
Dhaka Tribune,Feb 26 2021,Road accidents claim 24 lives across Bangladesh,Road accidents claim 24 lives across...,24,0
Dhaka Tribune,Feb 23 2021,2 killed in Chapainawabganj road accident,2 killed in Chapainawabganj road...,2,0
Dhaka Tribune,Feb 23 2021,"6 killed, 23 injured in bus-truck collisions in Sirajganj, Rajshahi","6 die in Sirajganj, Rajshahi road...",6,0
Dhaka Tribune,Feb 22 2021,Bus-truck collision leaves 2 dead in Chittagong,Bus-truck collision leaves 2 dead in...,2,0
Dhaka Tribune,Feb 21 2021,"6 killed, multiple injured as bus, truck collide head-on in Bogra",6 killed in Bogra bus-truck...,6,0
Dhaka Tribune,Feb 19 2021,Two motorcyclists killed in Rangpur road accident,Two motorcyclists killed in Rangpur...,2,0
Dhaka Tribune,Feb 19 2021,3 Bangladeshi students killed in Canada road crash,3 Bangladeshi students killed in Canada...,3,0
Dhaka Tribune,Feb 18 2021,Child run over by car after falling out of rickshaw,3-year-old run over by car in,1,0
Dhaka Tribune,Feb 10 2021,"11 killed, multiple injured in tragic bus-truck collision in Jhenaidah","11 die as bus, truck collide in...",11,0
Dhaka Tribune,Feb 10 2021,4 killed in Teknaf road accident,4 killed in Teknaf road accident,4,0
Dhaka Tribune,Feb 9 2021,Bus driver’s assistant dies in Dhaka,Bus helper dies in Dhaka,1,0
Dhaka Tribune,Feb 6 2021,"Father, daughter killed as truck ploughs into Pabna house","Father, daughter killed as truck ploughs...",2,0
Dhaka Tribune,Feb 5 2021,Bus runs over 3 people on Dhaka-Chittagong Highway,Bus runs over 3 people on Dhaka-Chittagong...,3,0
Dhaka Tribune,Feb 4 2021,Train rams car in Narayanganj,Train rams car in Narayanganj,,0
Dhaka Tribune,Feb 3 2021,32 killed in road pile-up in Uganda,32 killed in road pile-up in,32,0
Dhaka Tribune,Jan 28 2021,10-year-old boy killed in Dhaka road accident,10-year-old boy killed in Dhaka road...,1,0
Dhaka Tribune,Jan 21 2021,3 die as car falls into ditch in Bandarban,3 die as car falls into ditch in...,3,0
Dhaka Tribune,Jan 20 2021,One killed in Dhaka road accident,One killed in Dhaka road accident,1,0
Dhaka Tribune,Jan 19 2021,Policeman dies in road accident in Dhaka,Policeman dies in Dhaka road,1,0
Dhaka Tribune,Jan 13 2021,"6 killed, 4 injured in Jhenaidah road accident","6 killed, 4 injured in Jhenaidah road...",6,4
Dhaka Tribune,Jan 6 2021,Man killed in Dhaka road accident,Man killed in Dhaka road accident,1,0
Dhaka Tribune,Jan 3 2021,Bus-autorickshaw collision kills 7 in Mymensingh,7 dead in Mymensingh road crash,7,0
Dhaka Tribune,Jan 1 2021,Road accidents claim 11 lives across the country,Road accidents claim 11 lives across...,11,0
Dhaka Tribune,Dec 30 2020,Road crash kills 4 in Sylhet,Road crash kills 4 in Sylhet,4,0
Dhaka Tribune,Dec 29 2020,Police charge BB official in mountaineer Ratna hit-and-run case,BB official charged in Ratna hit-and-run...,0,0
Dhaka Tribune,Dec 23 2020,Woman knocked down by car in Dhaka,Woman knocked down by car in Dhaka,1,0
Dhaka Tribune,Dec 8 2020,5 killed in Tangail road accident,5 killed in Tangail road accident,5,0
Dhaka Tribune,Dec 8 2020,25 killed in road accidents,25 killed in road accidents,25,0
Dhaka Tribune,Dec 7 2020,3 of a family among 8 killed in Habiganj bus-autorickshaw collision,8 killed in Habiganj road crash,8,0
Dhaka Tribune,Dec 4 2020,6 killed in Tangail road accident,6 killed in Tangail road accident,6,0
Dhaka Tribune,Dec 1 2020,3 killed in Chandpur road accident,3 killed in Chandpur road accident,3,0
Dhaka Tribune,Nov 23 2020,Bangladeshi student killed in Australia road accident,Bangladeshi student killed in Australia...,,0
Dhaka Tribune,Nov 22 2020,3 killed in Bogra road accident,3 killed in Bogra road accident,3,0
Dhaka Tribune,Nov 19 2020,9 killed in Chapainawabganj road accident,9 killed in Chapainawabganj road...,9,0
Dhaka Tribune,Nov 16 2020,Brothers among three killed in Chapainawabganj road accident,Brothers among 3 killed in,3,0
Dhaka Tribune,Nov 11 2020,Woman killed in Dhaka road accident,Woman killed in Dhaka road,1,0
Dhaka Tribune,Nov 3 2020,5 killed in truck-ambulance collision in Kushtia,5 killed in truck-ambulance collision...,5,0
Dhaka Tribune,Nov 2 2020,Three killed in Chandpur road accident,Three killed in Chandpur road...,3,0
Dhaka Tribune,Oct 26 2020,4 killed in Cox’s Bazar road crash,4 killed in Cox’s Bazar road crash,4,0
Dhaka Tribune,Oct 16 2020,"Boy killed in Dhaka road accident, locals stage demonstrations",Demonstrations for boy killed in Dhaka...,1,0
Dhaka Tribune,Oct 12 2020,"Mother killed, daughter injured, in Dhaka road accident","Mother killed, daughter injured, in...",1,1
Dhaka Tribune,Oct 8 2020,4 killed in separate road accidents in Khulna,4 killed in separate road accidents...,4,0
Dhaka Tribune,Oct 8 2020,Road accidents kill 2 in Dhaka,Road accidents kill 2 in Dhaka,2,0
Dhaka Tribune,Oct 2 2020,Intern doctor killed in Sirajganj road accident,Intern doctor killed in Sirajganj road...,1,0
Dhaka Tribune,Sep 22 2020,"Woman, her son killed in Gopalganj road crash","Woman, her son killed in Gopalganj road...",2,0
Dhaka Tribune,Sep 21 2020,"Woman, daughter killed in Comilla road accident","Woman, daughter killed in Comilla road...",2,0
Dhaka Tribune,Sep 21 2020,"PIB director killed, one injured in Dhaka road crash",PIB director killed in Dhaka road...,1,1
Dhaka Tribune,Sep 18 2020,"4 killed, 20 injured in Magura road crash","4 killed, 20 injured in Magura road...",4,20
Dhaka Tribune,Sep 16 2020,Panchagarh jail guards killed in road crash,Panchagarh jail guards killed in road...,5,0
Dhaka Tribune,Sep 11 2020,Couple among 5 killed in road accidents,Couple among 5 killed in road...,5,0
Dhaka Tribune,Sep 9 2020,4 of a family among 6 killed in Barisal road accident,6 killed in Barisal road accident,6,0
Dhaka Tribune,Sep 7 2020,Four killed in Habiganj road accident,Four killed in Habiganj road...,4,0
Dhaka Tribune,Aug 30 2020,DU student among 3 killed in Cox’s Bazar road accident,DU student among 3 killed in Cox’s Bazar...,3,0
Dhaka Tribune,Aug 29 2020,5 killed in Sylhet road crash,5 killed in Sylhet road crash,5,0
Dhaka Tribune,Aug 21 2020,4 of a family killed in Tangail road crash,4 of a family killed in Tangail road...,4,0
